Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
28,Exit short,2025-06-13 10:21,Short Exit,21642.75,1,434675,1820,0.42,1820,0.42,-725,-0.17,2095,0.21
28,Entry short,2025-06-13 09:55,Short,21733.75,1,434675,1820,0.42,1820,0.42,-725,-0.17,2095,0.21
29,Exit short,2025-06-24 10:41,Short Exit,22333.5,1,446080,-590,-0.13,760,0.17,-590,-0.13,1505,0.15
29,Entry short,2025-06-24 09:51,Short,22304,1,446080,-590,-0.13,760,0.17,-590,-0.13,1505,0.15
30,Exit short,2025-06-27 09:37,Short Exit,22728.5,1,454150,-420,-0.09,35,0.01,-420,-0.09,1085,0.11
30,Entry short,2025-06-27 09:36,Short,22707.5,1,454150,-420,-0.09,35,0.01,-420,-0.09,1085,0.11
31,Exit long,2025-07-01 10:22,Long Exit,22780,1,456270,-670,-0.15,695,0.15,-670,-0.15,415,0.04
31,Entry long,2025-07-01 09:49,Long,22813.5,1,456270,-670,-0.15,695,0.15,-670,-0.15,415,0.04
32,Exit long,2025-07-06 18:00,Long Exit,22970,1,458335,1065,0.23,1065,0.23,-415,-0.09,1480,0.15
32,Entry long,2025-07-04 09:41,Long,22916.75,1,458335,1065,0.23,1065,0.23,-415,-0.09,1480,0.15
33,Exit short,2025-07-31 10:34,Short Exit,23620.5,1,473425,1015,0.21,1015,0.21,-575,-0.12,2495,0.25
33,Entry short,2025-07-31 10:00,Short,23671.25,1,473425,1015,0.21,1015,0.21,-575,-0.12,2495,0.25
34,Exit short,2025-08-06 09:48,Short Exit,23228.25,1,463305,-1260,-0.27,335,0.07,-1260,-0.27,1235,0.12
34,Entry short,2025-08-06 09:37,Short,23165.25,1,463305,-1260,-0.27,335,0.07,-1260,-0.27,1235,0.12
35,Exit short,2025-08-07 09:56,Short Exit,23648,1,471620,-1340,-0.28,220,0.05,-1340,-0.28,-105,-0.01
35,Entry short,2025-08-07 09:46,Short,23581,1,471620,-1340,-0.28,220,0.05,-1340,-0.28,-105,-0.01
36,Exit short,2025-08-12 10:00,Short Exit,23630,1,474750,2150,0.45,2150,0.45,-515,-0.11,2045,0.20
36,Entry short,2025-08-12 09:45,Short,23737.5,1,474750,2150,0.45,2150,0.45,-515,-0.11,2045,0.20
37,Exit short,2025-08-13 10:29,Short Exit,23948.5,1,480325,1355,0.28,1355,0.28,-315,-0.07,3400,0.34
37,Entry short,2025-08-13 09:56,Short,24016.25,1,480325,1355,0.28,1355,0.28,-315,-0.07,3400,0.34
38,Exit short,2025-08-14 10:30,Short Exit,23960.25,1,478205,-1000,-0.21,250,0.05,-1000,-0.21,2400,0.24
38,Entry short,2025-08-14 09:56,Short,23910.25,1,478205,-1000,-0.21,250,0.05,-1000,-0.21,2400,0.24
39,Exit short,2025-08-21 10:00,Short Exit,23175.25,1,464900,1395,0.30,1395,0.30,-505,-0.11,3795,0.38
39,Entry short,2025-08-21 09:41,Short,23245,1,464900,1395,0.30,1395,0.30,-505,-0.11,3795,0.38
40,Exit long,2025-08-25 11:03,Long Exit,23580.25,1,469970,1635,0.35,1635,0.35,-1005,-0.21,5430,0.54
40,Entry long,2025-08-25 09:38,Long,23498.5,1,469970,1635,0.35,1635,0.35,-1005,-0.21,5430,0.54
41,Exit short,2025-08-26 10:10,Short Exit,23518.5,1,469165,-1205,-0.26,625,0.13,-1205,-0.26,4225,0.42
41,Entry short,2025-08-26 09:47,Short,23458.25,1,469165,-1205,-0.26,625,0.13,-1205,-0.26,4225,0.42
42,Exit short,2025-08-29 10:05,Short Exit,23469.5,1,470650,1260,0.27,1260,0.27,-375,-0.08,5485,0.55
42,Entry short,2025-08-29 09:56,Short,23532.5,1,470650,1260,0.27,1260,0.27,-375,-0.08,5485,0.55
43,Exit short,2025-09-05 10:15,Short Exit,23750.75,1,476720,1705,0.36,1705,0.36,-380,-0.08,7190,0.72
43,Entry short,2025-09-05 09:56,Short,23836,1,476720,1705,0.36,1705,0.36,-380,-0.08,7190,0.72
44,Exit short,2025-09-09 10:00,Short Exit,23794.25,1,476545,660,0.14,660,0.14,-190,-0.04,7850,0.78
44,Entry short,2025-09-09 09:49,Short,23827.25,1,476545,660,0.14,660,0.14,-190,-0.04,7850,0.78
45,Exit long,2025-09-11 10:35,Long Exit,24004.75,1,478955,1140,0.24,1140,0.24,-155,-0.03,8990,0.90
45,Entry long,2025-09-11 09:47,Long,23947.75,1,478955,1140,0.24,1140,0.24,-155,-0.03,8990,0.90
46,Exit short,2025-09-16 10:12,Short Exit,24522.25,1,491065,620,0.13,620,0.13,-230,-0.05,9610,0.96
46,Entry short,2025-09-16 09:46,Short,24553.25,1,491065,620,0.13,620,0.13,-230,-0.05,9610,0.96
47,Exit long,2025-09-18 10:07,Long Exit,24743.75,1,493120,1755,0.36,1755,0.36,-290,-0.06,11365,1.14
47,Entry long,2025-09-18 09:50,Long,24656,1,493120,1755,0.36,1755,0.36,-290,-0.06,11365,1.14
48,Exit long,2025-09-30 11:00,Long Exit,24859.25,1,495525,1660,0.33,1660,0.33,-585,-0.12,13025,1.30
48,Entry long,2025-09-30 09:59,Long,24776.25,1,495525,1660,0.33,1660,0.33,-585,-0.12,13025,1.30
49,Exit short,2025-10-03 09:53,Short Exit,25165.5,1,502490,-820,-0.16,220,0.04,-820,-0.16,12205,1.22
49,Entry short,2025-10-03 09:42,Short,25124.5,1,502490,-820,-0.16,220,0.04,-820,-0.16,12205,1.22
50,Exit long,2025-10-09 09:55,Long Exit,25253.75,1,506040,-965,-0.19,295,0.06,-965,-0.19,11240,1.12
50,Entry long,2025-10-09 09:50,Long,25302,1,506040,-965,-0.19,295,0.06,-965,-0.19,11240,1.12
